WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
At                       1     1     2     2     1     1   255     1     1     1     269
present                  1     1     7     7     4     2    82     1     1     2      12
I                      -99     0     0     0     0     3     0     0     0     0       0
am                     -99     0     0     0     0     4     0     0     0     0       0
trying                   1     1     6     6    18     5   174     2     2     3      23
trying                   1     1     6     6    20     5   136     4     4     4      23
to                     -99     0     0     0     0     6     0     0     0     0       0
write                    1     1     5     5    27     7   184     1     1     5      10
my                     -99     0     0     0     0     8     0     0     0     0       0
first                    1     1     5     5    38     9   294     3     3     6      87
serious                  1     1     7     7    45    10   205     4     4     7      11
novel,                   1     1     6     5    52    11   274     3     3     8       7
a                      -99     0     0     0     0    12     0     0     0     0       0
process                  1     1     7     7    65    13   156     7     7     9       7
that                   -99     0     0     0     0    14     0     0     0     0       0
seems                    1     1     5     5    76    15   238     5     5    10      30
to                     -99     0     0     0     0    16     0     0     0     0       0
involve                -99     0     0     0     0    17     0     0     0     0       0
endless                -99     0     0     0     0    18     0     0     0     0       0
displacement             1     2    12    12    16    19   145     0     0    12       1
displacement             1     2    12    12    22    19   179     6     6    13       1
activity,                1     2     9     8    33    20   177     4     4    14       9
and                    -99     0     0     0     0    21     0     0     0     0       0
I                      -99     0     0     0     0    22     0     0     0     0       0
find                     1     2     4     4    48    23   283     3     3    15      27
that                   -99     0     0     0     0    24     0     0     0     0       0
if                     -99     0     0     0     0    25     0     0     0     0       0
I                      -99     0     0     0     0    26     0     0     0     0       0
switch                   1     2     6     6    61    27   146     1     1    16       2
The                      1     2     3     3    67    28   171     0     0    17    3511
Bill                     1     2     4     4    75    29   226     4     4    18       4
on                     -99     0     0     0     0    30     0     0     0     0       0
at                     -99     0     0     0     0    31     0     0     0     0       0
9am                    -99     0     0     0     0    32     0     0     0     0       0
on                     -99     0     0     0     0    33     0     0     0     0       0
UK                       1     3     2     2    10    34   193     0     0    20      12
Gold,                    1     3     5     4    14    35   147     1     1    21       8
I                      -99     0     0     0     0    36     0     0     0     0       0
am                     -99     0     0     0     0    37     0     0     0     0       0
all                    -99     0     0     0     0    38     0     0     0     0       0
too                    -99     0     0     0     0    39     0     0     0     0       0
likely                   1     3     6     6    32    40   226     0     0    22      16
likely                   1     3     6     6    36    40   171     4     4    23      16
to                     -99     0     0     0     0    41     0     0     0     0       0
be                     -99     0     0     0     0    42     0     0     0     0       0
still                    1     3     5     5    49    43   284     4     4    24      52
watching                 1     3     8     8    54    44   222     3     3    25       8
hours                  -99     0     0     0     0    45     0     0     0     0       0
later                    1     3     5     5    66    46   205     0     0    26      23
as                     -99     0     0     0     0    47     0     0     0     0       0
the                      1     3     3     3    75    48   135     0     0    27    3511
schedule               -99     0     0     0     0    49     0     0     0     0       0
swings                   1     4     6     6    13    50   213     4     4    29       1
its                    -99     0     0     0     0    51     0     0     0     0       0
way                    -99     0     0     0     0    52     0     0     0     0       0
through                  1     4     7     7    25    53   245     1     1    30      40
hospital                 1     4     8     8    33    54   199     1     1    31       5
emergency                1     4     9     9    42    55   182     1     1    32       4
rooms                  -99     0     0     0     0    56     0     0     0     0       0
and                      1     4     3     3    60    57   166     3     3    33    1283
Australian               1     4    10    10    67    58   182     6     6    34       2
soaps                  -99     0     0     0     0    59     0     0     0     0       0
that                   -99     0     0     0     0    60     0     0     0     0       0
would                    1     5     5     5     8    61    59     3     3    37     146
have                     1     5     4     4    13    62    76     2     2    38     361
have                     1     5     4     4    14    62   125     3     3    39     361
sent                     1     5     4     4    20    63   129     4     4    40       3
me                     -99     0     0     0     0    64     0     0     0     0       0
screaming                1     5     9     9    28    65   217     4     4    41       3
from                   -99     0     0     0     0    66     0     0     0     0       0
the                    -99     0     0     0     0    67     0     0     0     0       0
room                     1     5     4     4    45    68   175     2     2    42       8
when                     1     5     4     4    51    69   212     3     3    43     144
they                   -99     0     0     0     0    70     0     0     0     0       0
were                     1     5     4     4    61    71   208     3     3    44     106
first                  -99     0     0     0     0    72     0     0     0     0       0
screened                 1     5     8     8    71    73   239     2     2    45       1
but                      2     1     3     3     1    74   359     1     1    47     325
that                   -99     0     0     0     0    75     0     0     0     0       0
now                      2     1     3     3    11    76   191     2     2    48     107
exert                    2     1     5     5    16    77   164     3     3    49       1
a                      -99     0     0     0     0    78     0     0     0     0       0
compelling               2     1    10    10    23    79   229     2     2    50       2
'must                    2     1     5     4    35    80   264     3     2    51      31
see                    -99     0     0     0     0    81     0     0     0     0       0
