WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
life                     2     3     4     4    25   107   188     4     4    73      56
for                    -99     0     0     0     0   108     0     0     0     0       0
its                      2     3     3     3    33   109   161     3     3    74     152
people                   2     3     6     6    39   110   156     5     5    75      90
when                   -99     0     0     0     0   111     0     0     0     0       0
the                      2     3     3     3    47   112   154     1     1    76    3511
aid                    -99     0     0     0     0   113     0     0     0     0       0
cheques                  2     3     7     7    54   114   162     0     0    77       2
run                    -99     0     0     0     0   115     0     0     0     0       0
out.                   -99     0     0     0     0   116     0     0     0     0       0
Can                      2     3     3     3    75   117   140     0     0    78     123
it                     -99     0     0     0     0   118     0     0     0     0       0
be                     -99     0     0     0     0   119     0     0     0     0       0
done?                  -99     0     0     0     0   120     0     0     0     0       0
Afghanistan              2     4    11    11    13   121   144     1     1    79       7
Afghanistan              2     4    11    11    20   121   173     8     8    80       7
ranks                  -99     0     0     0     0   122     0     0     0     0       0
at                       2     4     2     2    30   123   319     0     0    81     269
at                       2     4     2     2    32   123   211     2     2    85     269
or                       2     4     2     2    34   124   104     1     1    86     194
about                    2     4     5     5    37   125   226     1     1    82     164
about                    2     4     5     5    39   125   161     3     3    87     164
the                      2     4     3     3    44   126   105     2     2    83    3511
bottom                   2     4     6     6    50   127   130     4     4    84       4
of                       2     4     2     2    55   128   181     2     2    88    1757
the                    -99     0     0     0     0   129     0     0     0     0       0
world                    2     4     5     5    63   130   131     3     3    89      60
scale                    2     4     5     5    69   131   160     3     3    90       5
on                     -99     0     0     0     0   132     0     0     0     0       0
most                     2     4     4     4    75   133   108     0     0    91      93
conventional             2     5    12    12     7   134    54     7     7    92       2
measures                 2     5     8     8    19   135   204     6     6    93       5
measures                 2     5     8     8    21   135    92     8     8    94       5
of                     -99     0     0     0     0   136     0     0     0     0       0
human                    2     5     5     5    29   137   169     4     4    95      25
endeavour,               2     5    10     9    37   138   193     6     6    96       1
insofar                  2     5     7     7    49   139    62     7     7    57       1
insofar                  2     5     7     7    44   139   158     2     2    97       1
insofar                  2     5     7     7    46   139   190     4     4    98       1
insofar                  2     5     7     7    47   139   191     5     5    99       1
as                     -99     0     0     0     0   140     0     0     0     0       0
figures                  2     5     7     7    53   141   129     0     0   100       8
figures                  2     5     7     7    57   141   193     4     4   101       8
figures                  2     5     7     7    58   141   197     5     5   104       8
are                    -99     0     0     0     0   142     0     0     0     0       0
available                2     5     9     9    67   143   306     2     2   102      12
available                2     5     9     9    73   143   109     8     8   103      12
at                       2     5     2     2    76   144   207     1     1   105     269
all.                     3     1     4     3     4   145   170     4     4   106     167
Life                   -99     0     0     0     0   146     0     0     0     0       0
expectancy               3     1    10    10    12   147   135     2     2   107       2
expectancy               3     1    10    10    16   147   172     6     6   108       2
expectancy               3     1    10    10    17   147    89     7     7   109       2
is                     -99     0     0     0     0   148     0     0     0     0       0
42.5                   -99     0     0     0     0   149     0     0     0     0       0
years,                   3     1     6     5    29   150    96     0     0   110     104
years,                   3     1     6     5    33   150   266     4     4   112     104
25                     -99     0     0     0     0   151     0     0     0     0       0
out                      3     1     3     3    39   152   224     0     0   113     113
of                       3     1     2     2    43   153   145     0     0   114    1757
every                    3     1     5     5    49   154   174     3     3   115      45
100                      3     1     3     3    55   155   197     3     3   116     -99
children                 3     1     8     8    60   156    71     4     4   117      43
die                    -99     0     0     0     0   157     0     0     0     0       0
before                   3     1     6     6    70   158   201     1     1   118      50
they                     3     1     4     4    77   159   229     1     1   119     258
are                    -99     0     0     0     0   160     0     0     0     0       0
five,                    3     2     5     4     9   161   198     5     5   120      18
70                     -99     0     0     0     0   162     0     0     0     0       0
per                      3     2     3     3    16   163   120     3     3   121      36
cent                   -99     0     0     0     0   164     0     0     0     0       0
of                     -99     0     0     0     0   165     0     0     0     0       0
the                    -99     0     0     0     0   166     0     0     0     0       0
population               3     2    10    10    31   167   188     2     2   124      11
population               3     2    10    10    35   167   153     6     6   125      11
are                    -99     0     0     0     0   168     0     0     0     0       0
undernourished           3     2    14    14    47   169   206     3     3   126       1
