WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
When                   -99     0     0     0     0     1     0     0     0     0       0
I                        1     1     1     1     5     2   153     0     0     2     327
was                    -99     0     0     0     0     3     0     0     0     0       0
about                    1     1     5     5    15     4   171     4     4     3     164
20,                      1     1     3     2    19     5   108     2     2     4     -99
I                      -99     0     0     0     0     6     0     0     0     0       0
worked                   1     1     6     6    28     7   250     5     5     5       8
in                     -99     0     0     0     0     8     0     0     0     0       0
an                     -99     0     0     0     0     9     0     0     0     0       0
office.                  1     1     7     6    37    10   215     1     1     6      11
office.                  1     1     7     6    41    10    71     5     5     7      11
Every                    1     1     5     5    49    11   200     5     5     8      45
morning                  1     1     7     7    55    12   163     5     5     9      17
there                    1     1     5     5    63    13   172     5     5    10     189
would                    1     1     5     5    69    14   112     5     5    11     146
be                     -99     0     0     0     0    15     0     0     0     0       0
that                     1     1     4     4    76    16   182     3     3    12     871
little                 -99     0     0     0     0    17     0     0     0     0       0
joke,                    1     2     5     4     9    18   211     2     2    13       2
where                    1     2     5     5    18    19   224     5     5    14      58
anyone                   1     2     6     6    25    20   157     6     6    15       9
who                    -99     0     0     0     0    21     0     0     0     0       0
arrived                  1     2     7     7    35    22   242     5     5    16       9
arrived                  1     2     7     7    32    22   107     2     2    17       9
five                   -99     0     0     0     0    23     0     0     0     0       0
minutes                  1     2     7     7    43    24   200     0     0    18       8
minutes                  1     2     7     7    49    24   163     6     6    19       8
late                     1     2     4     4    55    25   132     4     4    21      11
would                    1     2     5     5    58    26   412     2     2    20     146
say                      1     2     3     3    63    27   182     1     1    22      49
'Morning'                1     2     9     7    69    28   127     3     2    23      17
'Morning'                1     2     9     7    74    28   185     8     7    24      17
and                    -99     0     0     0     0    29     0     0     0     0       0
everyone                 1     3     8     8     2    30   148     2     2    26       7
would                    1     3     5     5    13    31   195     4     4    27     146
call                   -99     0     0     0     0    32     0     0     0     0       0
back                     1     3     4     4    20    33   157     0     0    28      38
back                     1     3     4     4    24    33   228     4     4    29      38
back                     1     3     4     4    21    33   222     1     1    31      38
'Afternoon'.             1     3    12     9    32    34   319     7     6    30       4
'Afternoon'.             1     3    12     9    31    34   178     6     5    32       4
The                    -99     0     0     0     0    35     0     0     0     0       0
next                     1     3     4     4    48    36   151     2     2    33      35
joke                     1     3     4     4    53    37   216     2     2    35       2
would                    1     3     5     5    61    38   146     5     5    36     146
come                     1     3     4     4    66    39   123     4     4    37      37
at                     -99     0     0     0     0    40     0     0     0     0       0
about                    1     3     5     5    72    41   238     2     2    38     164
11,                      1     3     3     2    77    42   106     1     1    39     -99
when                   -99     0     0     0     0    43     0     0     0     0       0
the                      1     4     3     3     5    44   204     0     0    40    3511
boss                     1     4     4     4    11    45   103     2     2    41       1
would                  -99     0     0     0     0    46     0     0     0     0       0
take                     1     4     4     4    22    47   222     2     2    42      42
his                      1     4     3     3    27    48   204     2     2    43     161
coffee                   1     4     6     6    32    49   245     3     3    44       4
cup                    -99     0     0     0     0    50     0     0     0     0       0
across                   1     4     6     6    43    51   230     3     3    45      28
