WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
his                      3     1     3     3    28   144   177     1     1    -9     161
claws,                   3     1     6     5    32   145   192     1     1    -4       1
claws,                   3     1     6     5    34   145    98     3     3    -2       1
it                       3     1     2     2    25   143   253     1     1     9     544
his                      3     1     3     3    28   144   161     1     1    -3     161
his                      3     1     3     3    30   144   259     3     3    -2     161
claws,                   3     1     6     5    37   145   206     6     6    -7       1
claws,                   3     1     6     5    34   145   279     3     3     3       1
his                      3     1     3     3    29   144   172     2     2     5     161
tongue,                  3     1     7     6    44   147   238     2     2   -15       1
colour,                  3     1     7     6    55   149   212     1     1   -11       4
reptilian                3     1     9     9    66   151   214     0     0   -11       1
reptilian                3     1     9     9    71   151   116     5     5    -5       1
mysterious               3     2    10    10    15   154   198     5     5   -99       2
*Blink                   3   -99    10    10   -99   -99    77   -99   -99   -99     -99
the                      3     2     3     3     9   153   243     3     3   -99    3511
the                      3     2     3     3     7   153   153     1     1     2    3511
mysterious               3     2    10    10    17   154   255     7     7   -10       2
smile                    3     2     5     5    22   155   167     1     1    -5       1
smile                    3     2     5     5    26   155   275     5     5    -4       1
his                      3     2     3     3    32   157   177     2     2    -6     161
perhaps                  3     2     7     7    47   160   227     4     4   -15      30
female                   3     2     6     6    56   162   282     1     1    -9       5
companion?               3     2    10     9    66   163   437     4     4   -10       2
us                       3     3     2     2    14   166   230     1     1   -99      86
lesson                   3     3     6     6    20   168   151     1     1    -6       5
lesson                   3     3     6     6    25   168   193     6     6    -5       5
three.                   3     3     6     5    30   169   227     4     4    -5      28
*Blink                   3   -99     6     5   -99   -99   159   -99   -99   -99     -99
out                      3     3     3     3    38   171   156     0     0   -99     113
alone                    3     3     5     5    44   172   212     2     2    -6      10
When                     3     3     4     4    37   170   169     4     4     7     144
evening,                 3     3     8     7    56   175   279     1     1   -19       5
can                      3     3     3     3    68   177   187     0     0   -12     123
leave                    3     3     5     5    75   178    92     3     3    -7      11
pepper                   3     4     6     6    19   182   309     5     5   -99       1
spray                    3     4     5     5    22   183   147     1     1    -3       2
spray                    3     4     5     5    25   183    81     4     4    -3       2
rape                     3     4     4     4    36   186   194     1     1   -11       1
alarm                    3     4     5     5    44   187   207     4     4    -8       4
safely                   3     4     6     6    50   188   134     4     4    -6       1
home.                    3     4     5     4    60   190   105     4     4   -10      19
don't                    3     4     5     5    69   192   172     2     2    -9     -99
forget                   3     4     6     6    77   193    70     4     4    -8       4
steer                    3     5     5     5    19   198   203     2     2   -99       1
clear                    3     5     5     5    24   199   156     1     1    -5      15
of                       3     5     2     2    30   200    83     1     1    -6    1757
pubs.                    3     5     5     4    33   201   211     1     1    -3       2
was                      3     5     3     3    71    75   274     2     2   -38     383
pubs.                    3     5     5     4    33   201   293     1     1    38       2
clear                    3     5     5     5    25   199   147     2     2     8      15
steer                    3     5     5     5    21   198   418     4     4     4       1
David                    4     1     5     5     7   203   154     2     2     0      12
