WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Now                      1     1     3     3     3     1   196     3     3     1     107
the                    -99     0     0     0     0     2     0     0     0     0       0
BBC                      1     1     3     3    10     3   207     2     2     2      21
has                    -99     0     0     0     0     4     0     0     0     0       0
embraced                 1     1     8     8    17     5   174     1     1     3       2
embraced                 1     1     8     8    21     5   216     5     5     4       2
'narrowcasting'          1     1    15    14    27     6   204     2     2     5       2
'narrowcasting'          1     1    15    14    35     6   279    10    10     6       2
'narrowcasting'          1     1    15    14    30     6   179     5     5     7       2
'narrowcasting'          1     1    15    14    32     6   238     7     7     8       2
with                   -99     0     0     0     0     7     0     0     0     0       0
its                      1     1     3     3    46     8   175     0     0     9     152
new                      1     1     3     3    52     9   189     2     2    10      93
channels,                1     1     9     8    55    10    82     1     1    11       3
channels,                1     1     9     8    58    10    62     4     4    12       3
Boyd                   -99     0     0     0     0    11     0     0     0     0       0
Tonkin                   1     1     6     6    71    12   291     2     2    14       1
asks                     1     1     4     4    76    13   196     0     0    15       2
if                     -99     0     0     0     0    14     0     0     0     0       0
TV                     -99     0     0     0     0    15     0     0     0     0       0
will                   -99     0     0     0     0    16     0     0     0     0       0
ever                     1     2     4     4    12    17   130     1     1    16      38
again                    1     2     5     5    21    18   193     5     5    17      28
surprise                 1     2     8     8    26    19   178     4     4    18       2
us                     -99     0     0     0     0    20     0     0     0     0       0
with                     1     2     4     4    38    21   208     4     4    19     393
the                    -99     0     0     0     0    22     0     0     0     0       0
unexpected.              1     2    11    10    47    23   238     4     4    20       4
On                     -99     0     0     0     0    24     0     0     0     0       0
Saturday,                1     2     9     8    66    25   261     4     4    21       2
the                    -99     0     0     0     0    26     0     0     0     0       0
BBC's                  -99     0     0     0     0    27     0     0     0     0       0
new                      1     3     3     3     9    28   202     3     3    22      93
cultural                 1     3     8     8    16    29   238     6     6    23       7
channel                  1     3     7     7    24    30   249     5     5    24       4
finally                  1     3     7     7    31    31   177     4     4    25       9
shed                   -99     0     0     0     0    32     0     0     0     0       0
the                      1     3     3     3    41    33   281     1     1    26    3511
dowdy                    1     3     5     5    48    34   170     4     4    27       1
chrysalis                1     3     9     9    55    35   209     5     5    28       1
chrysalis                1     3     9     9    58    35   197     8     8    29       1
of                     -99     0     0     0     0    36     0     0     0     0       0
Knowledge                1     3     9     9    68    37   282     5     5    30       2
to                       1     3     2     2    75    38   174     2     2    31    1597
emerge                 -99     0     0     0     0    39     0     0     0     0       0
as                     -99     0     0     0     0    40     0     0     0     0       0
a                        1     4     1     1    10    41   161     0     0    32    1434
gaudy                    1     4     5     5    17    42   188     5     5    33       1
butterfly                1     4     9     9    22    43   252     4     4    34       2
known                    1     4     5     5    30    44   148     2     2    35      16
as                     -99     0     0     0     0    45     0     0     0     0       0
'Four'.                  1     4     7     4    41    46   118     4     3    36      27
'Four'.                  1     4     7     4    43    46   237     6     5    37      27
Not                    -99     0     0     0     0    47     0     0     0     0       0
all                      1     4     3     3    51    48   196     2     2    38     167
of                     -99     0     0     0     0    49     0     0     0     0       0
us                     -99     0     0     0     0    50     0     0     0     0       0
can                      1     4     3     3    59    51   137     0     0    39     123
stick                    1     4     5     5    66    52   203     3     3    40       1
around                 -99     0     0     0     0    53     0     0     0     0       0
to                     -99     0     0     0     0    54     0     0     0     0       0
watch                  -99     0     0     0     0    55     0     0     0     0       0
the                    -99     0     0     0     0    56     0     0     0     0       0
metamorphosis.         -99     0     0     0     0    57     0     0     0     0       0
After                  -99     0     0     0     0    58     0     0     0     0       0
a                      -99     0     0     0     0    59     0     0     0     0       0
first                  -99     0     0     0     0    60     0     0     0     0       0
night                  -99     0     0     0     0    61     0     0     0     0       0
of                     -99     0     0     0     0    62     0     0     0     0       0
joint                  -99     0     0     0     0    63     0     0     0     0       0
transmission           -99     0     0     0     0    64     0     0     0     0       0
with                   -99     0     0     0     0    65     0     0     0     0       0
BBC                    -99     0     0     0     0    66     0     0     0     0       0
2,                     -99     0     0     0     0    67     0     0     0     0       0
Four's                 -99     0     0     0     0    68     0     0     0     0       0
six                      2     1     3     3    10    69   247     3     3    44      13
six                      2     1     3     3     7    69   171     0     0    45      13
hours                    2     1     5     5    14    70    67     3     3    46       9
per                      2     1     3     3    19    71   217     2     2    47      36
day                      2     1     3     3    22    72   138     1     1    48      35
of                     -99     0     0     0     0    73     0     0     0     0       0
arts,                    2     1     5     4    28    74   163     0     0    49       6
arts,                    2     1     5     4    31    74   220     3     3    50       6
ideas                  -99     0     0     0     0    75     0     0     0     0       0
and                      2     1     3     3    41    76   187     1     1    51    1283
reportage                2     1     9     9    49    77   222     5     5    52       3
has                    -99     0     0     0     0    78     0     0     0     0       0
reverted                 2     1     8     8    58    79   179     0     0    53       1
reverted                 2     1     8     8    65    79   123     7     7    54       1
to                       2     1     2     2    69    80   206     2     2    55    1597
the                    -99     0     0     0     0    81     0     0     0     0       0
digital                -99     0     0     0     0    82     0     0     0     0       0
platforms                2     2     9     9    17    83   274     9     9    56       1
still                  -99     0     0     0     0    84     0     0     0     0       0
closed                   2     2     6     6    24    85   187     0     0    57       7
closed                   2     2     6     6    30    85   188     6     6    58       7
to                     -99     0     0     0     0    86     0     0     0     0       0
the                    -99     0     0     0     0    87     0     0     0     0       0
half                     2     2     4     4    40    88   206     2     2    59      20
of                     -99     0     0     0     0    89     0     0     0     0       0
British                  2     2     7     7    49    90   199     3     3    60      77
households               2     2    10    10    60    91   245     6     6    61       1
who                    -99     0     0     0     0    92     0     0     0     0       0
can                      2     2     3     3    70    93   163     1     1    62     123
only                     2     2     4     4    75    94   138     2     2    63      97
receive                -99     0     0     0     0    95     0     0     0     0       0
terrestrial              2     3    11    11    16    96   225     8     8    64       1
terrestrial              2     3    11    11    17    96   218     9     9    69       1
fare.                    2     3     5     4    24    97   210     4     4    65       3
fare.                    2     3     5     4    23    97   291     3     3    68       3
Roly                   -99     0     0     0     0    98     0     0     0     0       0
Keating,                 2     3     8     7    37    99   294     2     2    66       2
Keating,                 2     3     8     7    35    99   160     0     0    67       2
Keating,                 2     3     8     7    38    99   436     3     3    70       2
Keating,                 2     3     8     7    36    99   147     1     1    71       2
the                    -99     0     0     0     0   100     0     0     0     0       0
corporation's            2     3    13    13    52   101   191     4     4    72     -99
doyen                    2     3     5     5    62   102   196     0     0    73       1
of                     -99     0     0     0     0   103     0     0     0     0       0
arts                     2     3     4     4    72   104   217     1     1    74       6
who                      2     3     3     3    76   105   179     0     0    75     157
became                 -99     0     0     0     0   106     0     0     0     0       0
Four's                   2     4     6     6    10   107   175     3     3    76     -99
